topicID	numTokensOfTopic	topicInAuthor	authorInTopic	author
60	112	0.000640	0.000212	Burgess, Anthony
30	109	0.000623	0.000162	Burgess, Anthony
67	94	0.000537	0.000619	Burgess, Anthony
58	70	0.000400	0.000109	Burgess, Anthony
71	62	0.000354	0.000271	Burgess, Anthony
16	61	0.000348	0.000082	Burgess, Anthony
8	53	0.000303	0.000098	Burgess, Anthony
12	53	0.000303	0.000095	Burgess, Anthony
49	51	0.000291	0.000157	Burgess, Anthony
32	43	0.000246	0.000091	Burgess, Anthony
59	42	0.000240	0.000123	Burgess, Anthony
33	39	0.000223	0.000274	Burgess, Anthony
56	36	0.000206	0.000162	Burgess, Anthony
24	36	0.000206	0.000088	Burgess, Anthony
66	25	0.000143	0.000129	Burgess, Anthony
74	11	0.000063	0.000033	Burgess, Anthony
11	140266	0.150477	0.513122	Wilson, Robert Charles
28	49178	0.052758	0.009763	Wilson, Robert Charles
3	42781	0.045895	0.041643	Wilson, Robert Charles
73	42024	0.045083	0.019303	Wilson, Robert Charles
48	40372	0.043311	0.015603	Wilson, Robert Charles
40	36782	0.039460	0.023609	Wilson, Robert Charles
39	33174	0.035589	0.009249	Wilson, Robert Charles
65	31220	0.033493	0.011422	Wilson, Robert Charles
70	30593	0.032820	0.009253	Wilson, Robert Charles
17	29071	0.031187	0.012177	Wilson, Robert Charles
47	28740	0.030832	0.010938	Wilson, Robert Charles
25	25641	0.027508	0.009800	Wilson, Robert Charles
53	23788	0.025520	0.006352	Wilson, Robert Charles
7	23174	0.024861	0.013396	Wilson, Robert Charles
23	21666	0.023243	0.007374	Wilson, Robert Charles
10	20452	0.021941	0.009605	Wilson, Robert Charles
1	19483	0.020901	0.013415	Wilson, Robert Charles
26	17624	0.018907	0.017310	Wilson, Robert Charles
29	17577	0.018857	0.011573	Wilson, Robert Charles
41	17034	0.018274	0.006238	Wilson, Robert Charles
50	15740	0.016886	0.009480	Wilson, Robert Charles
69	14869	0.015951	0.018968	Wilson, Robert Charles
57	14584	0.015646	0.014646	Wilson, Robert Charles
54	13848	0.014856	0.018160	Wilson, Robert Charles
6	13153	0.014111	0.008637	Wilson, Robert Charles
15	12413	0.013317	0.010825	Wilson, Robert Charles
13	12146	0.013030	0.018432	Wilson, Robert Charles
0	10761	0.011544	0.006191	Wilson, Robert Charles
2	10713	0.011493	0.012863	Wilson, Robert Charles
9	9093	0.009755	0.007661	Wilson, Robert Charles
36	8813	0.009455	0.005108	Wilson, Robert Charles
18	8553	0.009176	0.004816	Wilson, Robert Charles
27	8243	0.008843	0.009586	Wilson, Robert Charles
21	8066	0.008653	0.006805	Wilson, Robert Charles
14	7053	0.007566	0.016195	Wilson, Robert Charles
68	6979	0.007487	0.004745	Wilson, Robert Charles
61	6960	0.007467	0.006874	Wilson, Robert Charles
45	6072	0.006514	0.006175	Wilson, Robert Charles
35	5874	0.006302	0.005280	Wilson, Robert Charles
34	5187	0.005565	0.010236	Wilson, Robert Charles
63	5133	0.005507	0.017199	Wilson, Robert Charles
19	3908	0.004193	0.004108	Wilson, Robert Charles
44	3264	0.003502	0.002060	Wilson, Robert Charles
51	3256	0.003493	0.003466	Wilson, Robert Charles
5	2943	0.003157	0.006280	Wilson, Robert Charles
62	2579	0.002767	0.006326	Wilson, Robert Charles
46	1724	0.001850	0.002603	Wilson, Robert Charles
32	1713	0.001838	0.003622	Wilson, Robert Charles
52	1651	0.001771	0.004078	Wilson, Robert Charles
42	1420	0.001523	0.003834	Wilson, Robert Charles
55	1271	0.001364	0.002628	Wilson, Robert Charles
4	1235	0.001325	0.001527	Wilson, Robert Charles
38	1153	0.001237	0.001996	Wilson, Robert Charles
58	1118	0.001199	0.001748	Wilson, Robert Charles
31	829	0.000889	0.003005	Wilson, Robert Charles
37	808	0.000867	0.002918	Wilson, Robert Charles
16	717	0.000769	0.000965	Wilson, Robert Charles
33	706	0.000757	0.004964	Wilson, Robert Charles
72	705	0.000756	0.002173	Wilson, Robert Charles
59	697	0.000748	0.002047	Wilson, Robert Charles
64	669	0.000718	0.004706	Wilson, Robert Charles
12	586	0.000629	0.001048	Wilson, Robert Charles
74	480	0.000515	0.001454	Wilson, Robert Charles
22	477	0.000512	0.001501	Wilson, Robert Charles
49	459	0.000492	0.001414	Wilson, Robert Charles
30	425	0.000456	0.000631	Wilson, Robert Charles
43	383	0.000411	0.002579	Wilson, Robert Charles
8	367	0.000394	0.000680	Wilson, Robert Charles
60	353	0.000379	0.000667	Wilson, Robert Charles
20	330	0.000354	0.001495	Wilson, Robert Charles
56	255	0.000274	0.001150	Wilson, Robert Charles
66	248	0.000266	0.001277	Wilson, Robert Charles
71	197	0.000211	0.000862	Wilson, Robert Charles
67	192	0.000206	0.001264	Wilson, Robert Charles
24	129	0.000138	0.000315	Wilson, Robert Charles
61	42128	0.121754	0.041610	Vinge, Vernor
28	23622	0.068270	0.004689	Vinge, Vernor
39	17834	0.051542	0.004972	Vinge, Vernor
70	15568	0.044993	0.004709	Vinge, Vernor
21	14680	0.042427	0.012385	Vinge, Vernor
7	13666	0.039496	0.007900	Vinge, Vernor
17	13496	0.039005	0.005653	Vinge, Vernor
41	11839	0.034216	0.004336	Vinge, Vernor
25	11627	0.033603	0.004444	Vinge, Vernor
