topicID	numTokens	proportionOfTopic	proportionOfWord	word
52	1382	0.003413	0.095773	systems
52	1347	0.003327	0.014597	always
52	1335	0.003297	0.244954	roger
52	1334	0.003295	0.250752	launch
52	1311	0.003238	0.087342	mars
30	7583	0.011250	0.096255	upon
30	6703	0.009944	0.984288	lensman
30	5446	0.008079	0.105543	however
30	4780	0.007091	0.484296	patrol
30	4211	0.006247	0.038313	every
30	3965	0.005882	0.079571	nor
30	3547	0.005262	0.044780	space
30	3162	0.004691	0.053205	planet
30	3028	0.004492	0.029771	since
30	2952	0.004379	0.596364	lens
30	2664	0.003952	0.119730	base
30	2494	0.003700	0.040785	power
30	2413	0.003580	0.893704	samms
30	2373	0.003520	0.021154	ever
30	2342	0.003474	0.051371	force
30	2298	0.003409	0.020578	each
30	2248	0.003335	0.199291	vessel
30	2173	0.003224	0.032706	fact
30	2099	0.003114	0.268072	screens
30	2078	0.003083	0.097742	thus
44	7577	0.004781	0.066517	small
44	7162	0.004519	0.064581	perhaps
44	6921	0.004367	0.075805	set
44	6751	0.004260	0.085694	upon
44	6493	0.004097	0.055830	yet
44	5589	0.003527	0.083182	brought
44	5248	0.003312	0.059299	also
44	5188	0.003274	0.044941	sure
44	4835	0.003051	0.040840	men
44	4770	0.003010	0.056759	open
44	4641	0.002929	0.061938	held
44	4442	0.002803	0.055221	gave
44	4441	0.002802	0.041079	find
44	4441	0.002802	0.244145	animals
44	4391	0.002771	0.055435	space
44	4218	0.002662	0.052897	use
44	4193	0.002646	0.082410	answer
44	4179	0.002637	0.035165	found
44	4116	0.002597	0.036632	between
44	4095	0.002584	0.040262	since
18	20498	0.011542	0.258780	space
18	17938	0.010101	0.208122	earth
18	16065	0.009046	0.171781	ship
18	14226	0.008010	0.239374	planet
18	13209	0.007438	0.198572	hundred
18	12302	0.006927	0.228322	sun
18	11857	0.006676	0.420909	star
18	11015	0.006202	0.302112	stars
18	10100	0.005687	0.229545	system
18	9624	0.005419	0.212591	thousand
18	9304	0.005239	0.088610	light
18	8477	0.004773	0.646606	orbit
18	8395	0.004727	0.352287	speed
18	8019	0.004515	0.238165	miles
18	7871	0.004432	0.496907	atmosphere
18	6720	0.003784	0.378805	planets
18	6682	0.003763	0.465969	gravity
18	6628	0.003732	0.120422	ten
18	6504	0.003662	0.285013	moon
18	6474	0.003645	0.306244	million
0	14771	0.008497	0.120708	world
0	11113	0.006393	0.260258	war
0	9602	0.005524	0.081105	men
0	8560	0.004924	0.300140	state
0	7856	0.004519	0.610412	social
0	7656	0.004404	0.097182	upon
0	7396	0.004255	0.257252	history
0	7313	0.004207	0.119591	power
0	7163	0.004121	0.081713	human
0	7094	0.004081	0.059674	great
0	6901	0.003970	0.556981	political
0	6873	0.003954	0.509489	society
0	6761	0.003889	0.061514	every
0	6385	0.003673	0.056211	life
0	6002	0.003453	0.304515	government
0	5837	0.003358	0.341945	century
0	5734	0.003299	0.051032	between
0	5409	0.003112	0.158343	general
0	5288	0.003042	0.105423	themselves
0	5266	0.003029	0.100785	control
14	7393	0.016976	0.334374	books
14	6748	0.015495	0.248271	book
14	6183	0.014198	0.740479	fiction
14	5432	0.012473	0.276719	science
14	5414	0.012432	0.386714	york
14	4537	0.010418	0.657536	published
14	3409	0.007828	0.999707	copyright
14	3181	0.007304	0.803283	inc
14	2980	0.006843	0.269683	states
14	2917	0.006698	0.278340	united
14	2707	0.006216	0.466724	printed
14	2678	0.006149	0.605882	author
14	2674	0.006140	0.280588	america
14	2592	0.005952	0.343767	rights
14	2587	0.005940	0.532305	reserved
14	2494	0.005727	0.462709	novel
14	2439	0.005600	0.198293	library
14	2395	0.005499	0.171808	stories
14	2148	0.004932	0.656881	edition
14	2040	0.004684	1.000000	isbn
51	5510	0.005866	0.049537	across
51	5361	0.005707	0.122397	shoulder
51	4706	0.005010	0.061767	black
51	4685	0.004988	0.039998	behind
51	4424	0.004710	0.057365	suddenly
51	4251	0.004526	0.037834	between
51	4226	0.004499	0.042071	toward
51	4196	0.004467	0.078080	hair
51	4027	0.004287	0.232775	hey
51	3830	0.004078	0.057951	started
51	3786	0.004031	0.087295	fingers
51	3704	0.003943	0.035323	hands
51	3476	0.003701	0.033105	light
51	3461	0.003685	0.052022	reached
51	3363	0.003580	0.076728	edge
51	3335	0.003551	0.049298	someone
51	3329	0.003544	0.050340	stopped
51	3281	0.003493	0.059741	red
51	3242	0.003452	0.091170	stepped
51	3242	0.003452	0.102921	pushed
62	9520	0.023351	0.293827	says
62	4857	0.011913	0.041196	does
62	4478	0.010984	0.162600	comes
62	3895	0.009554	0.164485	looks
62	3246	0.007962	0.147077	goes
62	3198	0.007844	0.260000	thinks
62	2946	0.007226	0.297877	turns
62	2925	0.007175	0.091463	seems
62	2891	0.007091	0.091285	knows
62	2807	0.006885	0.183704	takes
62	2535	0.006218	0.426768	sees
62	2381	0.005840	0.084493	makes
62	2255	0.005531	0.317159	feels
62	2126	0.005215	0.439256	begins
62	1947	0.004776	0.695357	sits
62	1937	0.004751	0.542577	asks
62	1710	0.004194	0.014384	great
62	1692	0.004150	0.370241	finds
62	1687	0.004138	0.292374	stands
62	1609	0.003947	0.172270	gives
59	5702	0.016745	0.849776	ender
59	3035	0.008913	0.339106	peter
59	2738	0.008040	0.798251	valentine
59	2572	0.007553	0.827010	carson
59	2393	0.007027	0.589409	jane
59	2275	0.006681	0.103221	okay
59	2230	0.006549	0.969565	digger
59	2185	0.006416	0.017856	world
59	2146	0.006302	0.023831	maybe
59	1893	0.005559	0.222183	shuttle
59	1748	0.005133	0.448205	academy
59	1746	0.005127	0.018670	ship
59	1694	0.004975	0.672222	hive
59	1657	0.004866	0.023550	home
59	1526	0.004481	0.913772	kellie
59	1520	0.004464	0.196891	colony
59	1503	0.004414	0.082041	cloud
59	1459	0.004285	0.021225	coming
59	1449	0.004255	0.410482	janet
59	1422	0.004176	0.016068	also
1	19206	0.013224	0.173261	room
1	16741	0.011527	0.484965	walls
1	15452	0.010639	0.169523	door
1	15022	0.010343	0.227056	wall
1	14648	0.010086	0.279276	floor
